match_id,league,kickoff_utc,decision_time,home_team_id,away_team_id,total_goals,y_over_2_5,n_train_matches,p_over_2_5_A0_flat,p_over_2_5_A1_halflife_30d,p_over_2_5_A2_halflife_60d,p_over_2_5_A3_halflife_90d,p_over_2_5_A4_halflife_180d,p_over_2_5_A5_halflife_365d,competition
28153,Ligue_1,2024-11-22 18:00:00,2024-11-22 16:00:00,171,241,5,1.0,99,0.515798205501791,0.42327385221339436,0.46178357487997,0.47845663527494176,0.49660711476461744,0.5062354925201019,ligue1
28147,Ligue_1,2024-11-22 20:00:00,2024-11-22 18:00:00,161,174,3,1.0,99,0.5695339933412694,0.40418798948415835,0.4853469149855252,0.513893943775263,0.5421918380064423,0.5562146551302317,ligue1
28148,Ligue_1,2024-11-23 16:00:00,2024-11-23 14:00:00,210,164,4,1.0,101,0.4071225669347581,0.5091768955940807,0.45769187873139167,0.44056562760836,0.42366448958415354,0.415226934595114,ligue1
28150,Ligue_1,2024-11-23 18:00:00,2024-11-23 16:00:00,175,166,1,0.0,101,0.6705959948951103,0.6504039928644937,0.6774513895802304,0.6795332296895629,0.677374294329403,0.6745365758751519,ligue1
28155,Ligue_1,2024-11-23 20:00:00,2024-11-23 18:00:00,177,178,2,0.0,102,0.6268271121111376,0.46147050157574376,0.5495147555652556,0.5772061555298134,0.6031537016294035,0.6154677562633593,ligue1
28151,Ligue_1,2024-11-24 14:00:00,2024-11-24 12:00:00,160,163,1,0.0,104,0.5362220901260883,0.4848575257914754,0.5090234192846149,0.5182414691799851,0.5274406682545738,0.531968610488154,ligue1
28152,Ligue_1,2024-11-24 16:00:00,2024-11-24 14:00:00,168,282,2,0.0,104,0.5240786134961578,0.4398140494196369,0.48117910751787696,0.49614998804987137,0.5106671076330952,0.5176418935603638,ligue1
28154,Ligue_1,2024-11-24 16:00:00,2024-11-24 14:00:00,275,167,1,0.0,104,0.7425360237492148,0.831732138983771,0.7949986748002662,0.7795931028207673,0.7621679501005162,0.7525014815893687,ligue1
28149,Ligue_1,2024-11-24 19:45:00,2024-11-24 17:45:00,170,225,3,1.0,105,0.7842230052839051,0.7423007988364047,0.7618959937208198,0.7694730847284148,0.7770263847684725,0.78073844806367,ligue1
28156,Ligue_1,2024-11-29 19:45:00,2024-11-29 17:45:00,177,210,2,0.0,108,0.395078570522152,0.5165246854247085,0.46271320755008233,0.4414500489606853,0.4187682666800259,0.406854558304211,ligue1
28157,Ligue_1,2024-11-30 16:00:00,2024-11-30 14:00:00,163,175,5,1.0,109,0.5099653159331516,0.3063926615589704,0.4033342772096536,0.4391240785279426,0.4750765254729845,0.49297149169022864,ligue1
28159,Ligue_1,2024-11-30 18:00:00,2024-11-30 16:00:00,241,225,4,1.0,109,0.7918001678227929,0.7613097192462023,0.7698523301588375,0.7758193254517433,0.7832083984961765,0.7874298475103177,ligue1
28161,Ligue_1,2024-11-30 20:00:00,2024-11-30 18:00:00,161,168,2,0.0,110,0.8132658860958016,0.8723921537012478,0.8466049754675748,0.8366598062940043,0.8256528287155831,0.8195686502966882,ligue1
28160,Ligue_1,2024-12-01 14:00:00,2024-12-01 12:00:00,166,160,4,1.0,112,0.6788458467043104,0.5202362268937563,0.607763822369989,0.6339146879694796,0.6577206585787251,0.6687784201303794,ligue1
28158,Ligue_1,2024-12-01 16:00:00,2024-12-01 14:00:00,282,167,1,0.0,112,0.46884058840975795,0.43042284356388927,0.4505642941464229,0.45695245562008363,0.4630436448321243,0.4660172959708694,ligue1
28163,Ligue_1,2024-12-01 16:00:00,2024-12-01 14:00:00,178,170,5,1.0,112,0.5700805291395211,0.4469476280836791,0.4990557287663541,0.5212908101057092,0.5452114254341297,0.5577494457157484,ligue1
28164,Ligue_1,2024-12-01 16:00:00,2024-12-01 14:00:00,174,275,2,0.0,112,0.5137325432208357,0.4996911820513239,0.5145538591365791,0.5167317967886202,0.5166091600849637,0.515518803103117,ligue1
28162,Ligue_1,2024-12-01 19:45:00,2024-12-01 17:45:00,164,171,3,1.0,113,0.5857846446312093,0.7186301830476212,0.6510840282409871,0.6289108796282982,0.6071313560769441,0.5962574060833015,ligue1
28169,Ligue_1,2024-12-06 18:00:00,2024-12-06 16:00:00,160,241,4,1.0,117,0.6398530799724569,0.6730183799095026,0.6403439344736229,0.6363298141542235,0.63620115197999,0.6375968211328594,ligue1
28166,Ligue_1,2024-12-06 20:00:00,2024-12-06 18:00:00,275,161,0,0.0,117,0.7885066387781382,0.6437847023083606,0.7180791199500414,0.7426467379503102,0.766273124478122,0.7777411685603541,ligue1
28173,Ligue_1,2024-12-07 16:00:00,2024-12-07 14:00:00,171,174,2,0.0,119,0.3819332161653546,0.483588581102826,0.4297697072122583,0.4130547502322639,0.39712963038028926,0.3893451377788751,ligue1
28165,Ligue_1,2024-12-07 18:00:00,2024-12-07 16:00:00,170,282,3,1.0,119,0.6683083026924628,0.5449224899709626,0.6000927260771474,0.6224510970900524,0.6454965855931913,0.6571443280539382,ligue1
28168,Ligue_1,2024-12-07 20:00:00,2024-12-07 18:00:00,167,178,3,1.0,120,0.6000896122805974,0.5774477612364213,0.5953389519545268,0.598976156176624,0.6007184073183408,0.600725015873137,ligue1
28170,Ligue_1,2024-12-08 14:00:00,2024-12-08 12:00:00,210,166,2,0.0,122,0.5991785927183395,0.6642623326039483,0.6309013085704699,0.6198760487653135,0.6092261437506581,0.6040441940832161,ligue1
28171,Ligue_1,2024-12-08 16:00:00,2024-12-08 14:00:00,225,177,0,0.0,122,0.773880791192013,0.7059628741772824,0.7445135773723129,0.7556075204073834,0.7654461901398939,0.7699038548444229,ligue1
28172,Ligue_1,2024-12-08 16:00:00,2024-12-08 14:00:00,168,163,1,0.0,122,0.5363348639186004,0.5824810928305693,0.5556952679070979,0.5486837114870349,0.5423701468341765,0.5393080174287694,ligue1
28167,Ligue_1,2024-12-08 19:45:00,2024-12-08 17:45:00,175,164,2,0.0,123,0.8158962547060555,0.8054762075281581,0.8055165868025324,0.8079543886620949,0.8114738524301427,0.8136161544866237,ligue1
28178,Ligue_1,2024-12-13 19:45:00,2024-12-13 17:45:00,174,175,3,1.0,126,0.49957668775962477,0.5194135596827565,0.5185147367429119,0.5150316249485508,0.5089300831451478,0.5046321135187801,ligue1
28181,Ligue_1,2024-12-14 16:00:00,2024-12-14 14:00:00,164,160,2,0.0,127,0.6399330105602203,0.6740917016645025,0.6490875478580073,0.6439776934696848,0.6409156126021026,0.6401634515382758,ligue1
